"","age_years","gender3_factor","education_factor_7type","Ethnicity","vote_choice","vote2020","ideology"
"334",38,"Female","Post-graduate","Filipino","Joe Biden",1,"Very Liberal"
"335",60,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"336",60,"Male","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"337",41,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"338",40,"Male","Post-graduate","Thai","Joe Biden",1,"Very Conservative"
"339",53,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"340",18,"Female","High School or GED","Vietnamese","Joe Biden",1,"Moderate"
"341",62,"Female","High School or GED","Filipino","Joe Biden",1,"Moderate"
"342",41,"Male","High School or GED","Filipino","Joe Biden",1,"Very Conservative"
"343",71,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"344",56,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"345",70,"Male","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"346",77,"Female","Some college","Filipino","Joe Biden",1,"Moderate"
"347",58,"Male","Post-graduate","Filipino","Joe Biden",1,"Moderate"
"348",57,"Female","Post-graduate","Filipino","Joe Biden",1,"Moderate"
"349",30,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"350",53,"Male","Post-graduate","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"351",56,"Female","Some college","Filipino","Joe Biden",1,"Somewhat Liberal"
"352",43,"Male","Associates 2-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"353",53,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"354",47,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"355",37,"Female","Associates 2-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"356",37,"Female","Associates 2-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"357",47,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"358",37,"Female","Post-graduate","Filipino","Joe Biden",1,"Moderate"
"359",30,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Very Liberal"
"360",30,"Male","Some High School","Vietnamese","Joe Biden",0,"Moderate"
"361",20,"Female","Some college","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"362",32,"Female","Bachelors 4-yr","Vietnamese","None of These",0,"Very Liberal"
"363",66,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"364",32,"Female","Post-graduate","Filipino","Donald Trump",1,"Somewhat Conservative"
"365",65,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"366",33,"Male","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"367",59,"Male","Post-graduate","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"368",48,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"369",27,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Very Liberal"
"370",61,"Male","Associates 2-yr","Vietnamese","Donald Trump",1,"Very Liberal"
"371",32,"Male","Grades 1-8","Vietnamese","Donald Trump",1,"Somewhat Liberal"
"372",46,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"373",22,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"374",40,"Male","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"375",25,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Very Liberal"
"376",44,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"377",32,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"378",21,"Female","Some college","Vietnamese","Joe Biden",1,"Very Liberal"
"379",68,"Female","Post-graduate","Filipino","Donald Trump",1,"Somewhat Conservative"
"380",55,"Female","Some college","Filipino","Joe Biden",1,"Somewhat Liberal"
"381",36,"Male","Post-graduate","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"382",39,"Male","Some college","Filipino","Joe Biden",0,"Very Conservative"
"383",31,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Very Liberal"
"384",41,"Male","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"385",51,"Male","Post-graduate","Vietnamese","Donald Trump",1,"Very Conservative"
"386",56,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Very Conservative"
"387",36,"Female","Bachelors 4-yr","Filipino","Someone Else",1,"Somewhat Liberal"
"388",70,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"389",43,"Male","Bachelors 4-yr","Thai","Joe Biden",1,"Moderate"
"390",34,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Somewhat Conservative"
"391",53,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"392",59,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"393",40,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"394",32,"Male","Post-graduate","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"395",29,"Female","Bachelors 4-yr","Hmong","Joe Biden",1,"Moderate"
"396",53,"Female","Some college","Filipino","Joe Biden",1,"Moderate"
"397",56,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"398",26,"Male","Some college","Hmong","Joe Biden",0,"Moderate"
"399",49,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"400",30,"Male","Bachelors 4-yr","Hmong","Jo Jorgensen",1,"Very Conservative"
"401",18,"Female","High School or GED","Thai","Joe Biden",1,"Somewhat Liberal"
"402",34,"Male","Some college","Lao","Joe Biden",1,"Moderate"
"403",41,"Male","Some college","Filipino","Donald Trump",1,"Very Conservative"
"404",56,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Very Liberal"
"405",21,"Female","Some college","Hmong","None of These",0,"Moderate"
"406",21,"Female","Some college","Hmong","None of These",0,"Moderate"
"407",28,"Female","Associates 2-yr","Vietnamese","Joe Biden",1,"Moderate"
"408",52,"Female","High School or GED","Filipino","Joe Biden",1,"Somewhat Liberal"
"409",42,"Female","Post-graduate","Filipino","Joe Biden",1,"Somewhat Conservative"
"410",60,"Male","Bachelors 4-yr","Filipino","Donald Trump",1,"Somewhat Conservative"
"411",23,"Female","Associates 2-yr","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"412",55,"Male","Post-graduate","Vietnamese","Joe Biden",1,"Somewhat Conservative"
"413",25,"Other","Bachelors 4-yr","Filipino","Joe Biden",1,"Very Liberal"
"414",44,"Male","Post-graduate","Vietnamese","Joe Biden",1,"Somewhat Conservative"
"415",61,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"416",27,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"417",59,"Male","Some High School","Vietnamese","Joe Biden",1,"Moderate"
"418",53,"Male","Post-graduate","Filipino","Donald Trump",1,"Somewhat Conservative"
"419",31,"Male","Some college","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"420",30,"Female","Post-graduate","Filipino","Joe Biden",0,"Moderate"
"421",34,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"422",38,"Male","Associates 2-yr","Vietnamese","Joe Biden",1,"Moderate"
"423",64,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Conservative"
"424",45,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"425",53,"Male","Bachelors 4-yr","Thai","Joe Biden",1,"Moderate"
"426",70,"Male","Some High School","Vietnamese","Joe Biden",1,"Moderate"
"427",56,"Male","Bachelors 4-yr","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"428",56,"Male","Bachelors 4-yr","Vietnamese","Donald Trump",1,"Moderate"
"429",37,"Female","Some college","Vietnamese","Joe Biden",1,"Moderate"
"430",63,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"431",53,"Male","Post-graduate","Filipino","Donald Trump",1,"Somewhat Conservative"
"432",62,"Male","Associates 2-yr","Filipino","Donald Trump",1,"Somewhat Conservative"
"433",40,"Male","Bachelors 4-yr","Cambodian","None of These",0,"Very Conservative"
"434",39,"Female","Associates 2-yr","Filipino","Joe Biden",1,"Moderate"
"435",54,"Female","Some college","Filipino","Donald Trump",1,"Moderate"
"436",53,"Male","Post-graduate","Filipino","Someone Else",1,"Somewhat Liberal"
